2013-08-21 21:47:55,777 - ubuntuone.credentials - INFO - Starting Ubuntu One login manager for bus u'com.ubuntuone.Credentials'.
2013-08-21 21:49:44,931 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2013-08-21 21:49:44,932 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2013-08-21 21:54:48,155 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2013-08-21 21:54:48,183 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2013-08-21 21:59:47,504 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2013-08-21 21:59:47,520 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2013-08-21 22:16:46,054 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2013-08-21 22:16:46,079 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2013-08-21 22:21:46,662 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: u'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2013-08-21 22:21:46,670 - ubuntuone.credentials - INFO - Received u'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
